column_name,dtype,non_null_count,missing_count,unique_count,sample_values,min,max
member_id,object,252,0,84,M1000 | M1000 | M1000,,
index_date,object,252,0,1,2025-09-30 | 2025-09-30 | 2025-09-30,,
rank,int64,252,0,3,1 | 2 | 3,1.0,3.0
feature,object,252,0,16,lob_medicare | lb_6m_er_visit_count | lob_exchange,,
feature_value,float64,252,0,7,0.0 | 0.0 | 0.0,0.0,22190.62
contribution,float64,252,0,23,1.058949090103834 | 0.962693743119417 | -0.924987964390828,-3.219350338053545,3.565183693373445
direction,object,252,0,2,increase_risk | increase_risk | decrease_risk,,
abs_contribution,float64,252,0,23,1.058949090103834 | 0.962693743119417 | 0.924987964390828,0.924987964390828,3.565183693373445
explanation_method,object,252,0,1,linear_contribution_fallback | linear_contribution_fallback | linear_contribution_fallback,,
